id;name;login;password;age;groupId;rating;type
98;Каржаубаева Лариса Максимовна;Opiri;Opiri;27;14;0;Student
99;Косинова Нона Казимировна;Lafyn;Lafyn;30;11;0;Student
100;Остапюка Мария Дмитриевна;Ianra;Ianra;27;11;0;Student
101;Сигачёва Лада Наумовна;Agage;Agage;31;7;0;Student
102;Белозерцева Диана Евремовна;Yggra;Yggra;29;4;0;Student
103;Овсова Любава Игнатиевна;Fokus;Fokus;32;3;0;Student
104;Дубкова Алла Архиповна;Coath;Coath;32;6;0;Student
105;Шелыгина Розалия Ильевна;Audor;Audor;18;16;0;Student
106;Селезнева Вера Карповна;Molar;Molar;19;20;0;Student
107;Арнаутова Инга Юлиевна;Zugor;Zugor;20;5;0;Student
108;Мишутина Ника Владиславовна;Fodor;Fodor;19;4;0;Student
109;Скворцова Владислава Вениаминовна;Arage;Arage;21;14;0;Student
110;Сапрыкина Анисья Елисеевна;Vuran;Vuran;32;12;0;Student
111;Оропай Антонина Евстигнеевна;Zalas;Zalas;21;15;0;Student
112;Кулигина Нина Лаврентиевна;Kefym;Kefym;23;5;0;Student
113;Чечурова Фаина Трофимовна;Nirin;Nirin;26;11;0;Student
114;Ёжина Стела Радионовна;Kaath;Kaath;20;19;0;Student
115;Мандрыкина Майя Павловна;Bukus;Bukus;22;4;0;Student
116;Ведерникова Доминика Вячеславовна;Mazan;Mazan;21;8;0;Student
117;Евлентьева Арина Глебовна;Nuari;Nuari;33;15;0;Student
118;Хитрово Рената Андриановна;Digar;Digar;24;11;0;Student
119;Щавельская Лилия Афанасиевна;Dabar;Dabar;22;15;0;Student
120;Актжанова Марина Рюриковна;Magul;Magul;31;16;0;Student
121;Тестов Тест Тестович;test;test;30;5;6.0;Student
122;Иванов Иван Иванович;ivan;ivan;25;7;0;Student
123;Петров Петр Петрович;petr;petr;18;9;0;Student
124;Кузьмина Алевтина Кимовна;alev;alev;20;11;0;Student
125;Родионова Габи Иринеевна;gabi;gabi;35;13;0;Student
126;Сидоров Сидр Сидорович;sidr;sidr;21;15;0;Student
127;Иванив Устин Фёдорович;ustin;ustin;25;17;0;Student
128;Хренова Гадя Петрович;gadya;gadya;24;19;0;Student
129;Зварыч Чарльз Вадимович;char;char;30;1;0;Student
130;Горобчук Элина Сергеевна;elina;elina;31;3;0;Student
131;Кошелева Ярослава Станиславовна;slava;slava;19;2;0;Student
132;Гаврилов Шамиль Богданович;sham;sham;22;8;0;Student
133;Агафонова Кармелитта Филатовна;karm;karm;40;;;Teacher
134;Титова Раиса Игоревна;raisa;raisa;42;;;Teacher
135;Фадеев Флор Антонович;flor;flor;51;;;Teacher
136;Коржукова Анастасия Рюриковна;korzh;korzh;45;;;Teacher
137;Цызырева Арина Максимовна;arina;arina;39;;;Teacher
138;Геремеш Лилия Наумовна;gerem;gerem;41;;;Teacher
139;Карташёва Элеонора Артуровна;karta;karta;50;;;Teacher
140;Капралова Галина Тарасовна;kapral;kapral;51;;;Teacher
141;Слепынин Владилен Прохорович;slep;slep;35;;;Teacher
142;Конно Аристарх Фомевич;konno;konno;33;;;Teacher
143;Захарьин Артемий Артемиевич;zahar;zahar;31;;;Teacher
144;Десятков Соломон Аполлинариевич;solo;solo;48;;;Teacher
145;Яшнов Самсон Еремеевич;yashn;yashn;46;;;Teacher
146;Admin;root;root;32;;;Admin
